iter	Passed	Remaining
0	18	833
1	35	766
2	49	697
3	64	661
4	79	638
5	93	610
6	107	585
7	121	563
8	136	544
9	150	526
10	164	507
11	178	490
12	192	473
13	206	456
14	220	440
15	233	423
16	247	407
17	261	392
18	274	376
19	291	364
20	306	350
21	321	336
22	337	322
23	352	308
24	367	293
25	381	278
26	395	263
27	410	249
28	424	233
29	438	219
30	452	204
31	465	189
32	480	174
33	493	159
34	507	145
35	522	130
36	537	116
37	551	101
38	567	87
39	581	72
40	596	58
41	610	43
42	628	29
43	644	14
44	660	0
